origin,destination,distance,duration
3001 Walnut St.,2455 S. 3rd Street,10487,1082
735 W. Butler St.,769 N 39th St,12743,1085
100 E. Lehigh Ave.,180 E Tulpehocken St,9527,1588
3001 Walnut St.,180 E Tulpehocken St,14949,1318
521-23 W. Lehigh Ave.,1419 Wharton St,11517,1516
100 E. Lehigh Ave.,4520 Benner St,7329,1255
4355 Paul St,769 N 39th St,14941,1218
704 W Girard Ave,3101 Ridge Ave.,4079,750
100 E. Lehigh Ave.,2000 N 11th St,3283,673
2703 Tasker St,4520 Benner St,19378,1350
4355 Paul St,1419 Wharton St,14416,1314
704 W Girard Ave,1419 Wharton St,5736,1110
6500 Castor Ave,4520 Benner St,3297,534
2703 Tasker St,180 E Tulpehocken St,17544,1264
100 E. Lehigh Ave.,900 E Howell St,7889,1146
100 E. Lehigh Ave.,1510 W Oxford St,4657,870
3001 Walnut St.,1419 Wharton St,4417,920
2703 Tasker St,6434 Castor Ave,22468,1599
3001 Walnut St.,2703 Tasker St,4394,859
2703 Tasker St,4667 Paul St.,18490,1325
1801 W Diamond St,2455 S. 3rd Street,12238,1347
735 W. Butler St.,2455 S. 3rd Street,15110,1578
2703 Tasker St,100 E. Lehigh Ave.,13331,1184
3001 Walnut St.,1510 W Oxford St,6205,1015
1801 W Diamond St,935 S 53rd St,10238,1667
100 E. Lehigh Ave.,704 W Girard Ave,4120,812
3101 Ridge Ave.,1801 W Diamond St,1920,353
704 W Girard Ave,180 E Tulpehocken St,17697,1460
704 W Girard Ave,735 W. Butler St.,5421,991
6500 Castor Ave,169 W. Wyoming Ave.,5625,715
2703 Tasker St,537 E. Wyoming Ave.,18945,1216
521-23 W. Lehigh Ave.,2455 S. 3rd Street,12871,1241
100 E. Lehigh Ave.,2455 S. 3rd Street,11961,1087
3101 Ridge Ave.,1510 W Oxford St,2913,600
3001 Walnut St.,900 E Howell St,18816,1597
1510 W Oxford St,2455 S. 3rd Street,11253,1164
4355 Paul St,2703 Tasker St,17384,1333
1510 W Oxford St,2000 N 11th St,1435,354
6500 Castor Ave,4355 Paul St,4391,703
3001 Walnut St.,521-23 W. Lehigh Ave.,8979,1381
1419 Wharton St,1220 S. 58th St,8638,1260
2703 Tasker St,704 W Girard Ave,8743,904
100 E. Lehigh Ave.,935 S 53rd St,15279,1532
3001 Walnut St.,3101 Ridge Ave.,5582,871
704 W Girard Ave,2703 Tasker St,9407,1107
704 W Girard Ave,4667 Paul St.,11115,1156
6500 Castor Ave,4667 Paul St.,3336,582
4355 Paul St,2059 E Chelten Ave,2349,453
3001 Walnut St.,1220 S. 58th St,5780,907
1801 W Diamond St,8398 Lindbergh Blvd,21517,1672
3101 Ridge Ave.,769 N 39th St,4291,578
3101 Ridge Ave.,3101 Ridge Ave.,0,0
1510 W Oxford St,3101 Ridge Ave.,2442,515
1510 W Oxford St,3223 W Clifford St,2548,580
4355 Paul St,180 E Tulpehocken St,10879,1576
3101 Ridge Ave.,3223 W Clifford St,1125,211
100 E. Lehigh Ave.,2703 Tasker St,13575,1381
4355 Paul St,1220 S. 58th St,20648,1665
4355 Paul St,4700 Wyalusing Ave.,16953,1352
735 W. Butler St.,735 W. Butler St.,0,0
100 E. Lehigh Ave.,1220 S. 58th St,16839,1713
4700 Wyalusing Ave.,3223 W Clifford St,3735,638
704 W Girard Ave,1220 S. 58th St,12671,1439
100 E. Lehigh Ave.,8398 Lindbergh Blvd,21240,1412
3001 Walnut St.,1801 W Diamond St,6809,1133
100 E. Lehigh Ave.,4700 Wyalusing Ave.,13144,1401
1801 W Diamond St,6434 Castor Ave,11648,1584
1510 W Oxford St,769 N 39th St,5370,884
3101 Ridge Ave.,735 W. Butler St.,8375,806
3101 Ridge Ave.,180 E Tulpehocken St,9108,920
6500 Castor Ave,2059 E Chelten Ave,3560,531
1510 W Oxford St,1510 W Oxford St,0,0
3001 Walnut St.,4667 Paul St.,16392,1372
2703 Tasker St,521-23 W. Lehigh Ave.,11077,1335
6500 Castor Ave,935 S 53rd St,24423,1979
3101 Ridge Ave.,2000 N 11th St,3255,679
704 W Girard Ave,935 S 53rd St,11111,1258
704 W Girard Ave,4520 Benner St,12003,1181
6500 Castor Ave,521-23 W. Lehigh Ave.,9253,1292
3101 Ridge Ave.,704 W Girard Ave,4062,783
100 E. Lehigh Ave.,1419 Wharton St,10607,1362
3101 Ridge Ave.,2703 Tasker St,9830,1129
3101 Ridge Ave.,2455 S. 3rd Street,15354,1247
3001 Walnut St.,735 W. Butler St.,14635,1176
