origin,destination,distance,duration
1220 S. 58th St,2455 S. 3rd Street,11245,1307
4667 Paul St.,1510 W Oxford St,11625,1392
2703 Tasker St,1510 W Oxford St,8303,969
6027 Chestnut St,1510 W Oxford St,10042,1510
1419 Wharton St,6027 Chestnut St,8932,1440
4667 Paul St.,6500 Castor Ave,3636,657
1220 S. 58th St,1510 W Oxford St,10983,1628
1419 Wharton St,100 E. Lehigh Ave.,10749,1371
1419 Wharton St,537 E. Wyoming Ave.,19696,1649
4667 Paul St.,5901 Larchwood Ave,21296,1831
1220 S. 58th St,6027 Chestnut St,3168,489
4667 Paul St.,180 E Tulpehocken St,11374,1621
4667 Paul St.,521-23 W. Lehigh Ave.,6496,1169
4667 Paul St.,8398 Lindbergh Blvd,25976,1478
6027 Chestnut St,2000 N 11th St,10912,1632
1419 Wharton St,521-23 W. Lehigh Ave.,8161,1493
1419 Wharton St,900 E Howell St,19014,1964
6027 Chestnut St,8398 Lindbergh Blvd,10350,1341
4667 Paul St.,4700 Wyalusing Ave.,17880,1467
4667 Paul St.,1419 Wharton St,15343,1428
1220 S. 58th St,3101 Ridge Ave.,8867,1491
6027 Chestnut St,2059 E Chelten Ave,20165,1784
8398 Lindbergh Blvd,1429 W Clearfield St,26969,1879
1419 Wharton St,4520 Benner St,16796,1537
4667 Paul St.,900 E Howell St,3405,658
6027 Chestnut St,521-23 W. Lehigh Ave.,11056,1846
1419 Wharton St,4667 Paul St.,15909,1513
1220 S. 58th St,2000 N 11th St,11852,1749
1419 Wharton St,6434 Castor Ave,18965,1851
1220 S. 58th St,769 N 39th St,5586,949
1220 S. 58th St,704 W Girard Ave,11423,1563
1220 S. 58th St,4520 Benner St,22057,2009
1220 S. 58th St,3001 Walnut St.,6147,1058
1220 S. 58th St,1801 W Diamond St,10095,1753
4667 Paul St.,2000 N 11th St,13808,1340
6027 Chestnut St,1801 W Diamond St,8799,1477
4667 Paul St.,1801 W Diamond St,9851,1507
6027 Chestnut St,6500 Castor Ave,20604,1960
6027 Chestnut St,180 E Tulpehocken St,15680,1631
6027 Chestnut St,100 E. Lehigh Ave.,15070,1726
4667 Paul St.,2530 Wharton St,18027,1385
1220 S. 58th St,1419 Wharton St,7014,1204
1220 S. 58th St,735 W. Butler St.,16662,1765
6027 Chestnut St,4355 Paul St,19039,1711
4667 Paul St.,6027 Chestnut St,21710,1857
4667 Paul St.,2455 S. 3rd Street,16697,1153
1220 S. 58th St,521-23 W. Lehigh Ave.,13757,1994
1220 S. 58th St,4667 Paul St.,21170,1984
1419 Wharton St,6500 Castor Ave,19037,1847
4667 Paul St.,935 S 53rd St,20015,1598
1220 S. 58th St,4355 Paul St,19979,1828
1220 S. 58th St,6500 Castor Ave,21899,2236
1220 S. 58th St,3223 W Clifford St,7906,1361
6027 Chestnut St,4667 Paul St.,20229,1867
1220 S. 58th St,6434 Castor Ave,21899,2243
1220 S. 58th St,900 E Howell St,20843,2187
1220 S. 58th St,2530 Wharton St,5426,882
1220 S. 58th St,100 E. Lehigh Ave.,16010,1843
1220 S. 58th St,2059 E Chelten Ave,21105,1902
1419 Wharton St,4355 Paul St,14718,1356
1220 S. 58th St,180 E Tulpehocken St,16975,1907
4667 Paul St.,1220 S. 58th St,21575,1779
1220 S. 58th St,1429 W Clearfield St,16896,1901
4667 Paul St.,769 N 39th St,15868,1332
6027 Chestnut St,4520 Benner St,21117,1892
1220 S. 58th St,537 E. Wyoming Ave.,18376,1859
6027 Chestnut St,6434 Castor Ave,20604,1966
1220 S. 58th St,5901 Larchwood Ave,1432,260
4164 BARNETT ST,4520 Benner St,1041,210
537 E. Wyoming Ave.,169 W. Wyoming Ave.,1073,221
139 N 63RD ST,6027 Chestnut St,953,148
4164 BARNETT ST,4667 Paul St.,3437,693
2530 Wharton St,2703 Tasker St,832,150
2530 Wharton St,2530 Wharton St,0,0
1429 W Clearfield St,1429 W Clearfield St,0,0
769 N 39th St,769 N 39th St,0,0
139 N 63RD ST,769 N 39th St,4488,769
2530 Wharton St,1419 Wharton St,1588,323
1429 W Clearfield St,1801 W Diamond St,2265,451
2530 Wharton St,3001 Walnut St.,2702,563
180 E Tulpehocken St,180 E Tulpehocken St,0,0
4164 BARNETT ST,537 E. Wyoming Ave.,6866,849
4164 BARNETT ST,169 W. Wyoming Ave.,7792,944
2530 Wharton St,769 N 39th St,5060,956
1429 W Clearfield St,769 N 39th St,7081,1045
769 N 39th St,1510 W Oxford St,5217,910
139 N 63RD ST,5901 Larchwood Ave,1923,292
6434 Castor Ave,4667 Paul St.,3336,587
4520 Benner St,6500 Castor Ave,3129,517
537 E. Wyoming Ave.,537 E. Wyoming Ave.,0,0
1429 W Clearfield St,100 E. Lehigh Ave.,3589,683
2530 Wharton St,3101 Ridge Ave.,9650,988
1429 W Clearfield St,3223 W Clifford St,3916,677
4164 BARNETT ST,1510 W Oxford St,12901,1522
769 N 39th St,3223 W Clifford St,3174,463
4164 BARNETT ST,6434 Castor Ave,3044,481
2530 Wharton St,5901 Larchwood Ave,6163,1056
139 N 63RD ST,169 W. Wyoming Ave.,15015,1398
2530 Wharton St,1220 S. 58th St,6442,1004
3223 W Clifford St,1510 W Oxford St,3113,682
1429 W Clearfield St,3101 Ridge Ave.,3308,553
1429 W Clearfield St,521-23 W. Lehigh Ave.,2310,421
2530 Wharton St,3223 W Clifford St,8688,857
1429 W Clearfield St,735 W. Butler St.,2236,524
1429 W Clearfield St,704 W Girard Ave,4364,704
1429 W Clearfield St,2000 N 11th St,2751,477
4164 BARNETT ST,2059 E Chelten Ave,1636,288
769 N 39th St,2703 Tasker St,4820,1035
2530 Wharton St,704 W Girard Ave,9575,1054
537 E. Wyoming Ave.,1510 W Oxford St,7252,1027
1429 W Clearfield St,537 E. Wyoming Ave.,4686,717
139 N 63RD ST,2000 N 11th St,9852,1738
139 N 63RD ST,1220 S. 58th St,3248,494
1429 W Clearfield St,6027 Chestnut St,10494,1716
4164 BARNETT ST,704 W Girard Ave,13748,1228
4164 BARNETT ST,1419 Wharton St,16619,1559
3223 W Clifford St,704 W Girard Ave,4715,817
1429 W Clearfield St,4667 Paul St.,6943,1153
139 N 63RD ST,2703 Tasker St,7814,1259
2530 Wharton St,6027 Chestnut St,7496,1192
139 N 63RD ST,1419 Wharton St,9119,1520
4164 BARNETT ST,2530 Wharton St,19303,1516
769 N 39th St,3101 Ridge Ave.,4136,594
4164 BARNETT ST,6500 Castor Ave,3115,477
139 N 63RD ST,8398 Lindbergh Blvd,11004,1383
1429 W Clearfield St,3001 Walnut St.,13008,1264
537 E. Wyoming Ave.,4667 Paul St.,3061,473
1812 E PASSYUNK AVE,1419 Wharton St,1431,335
2530 Wharton St,1801 W Diamond St,10877,1250
2530 Wharton St,1510 W Oxford St,9135,1119
769 N 39th St,2530 Wharton St,4536,973
3223 W Clifford St,1429 W Clearfield St,4094,759
537 E. Wyoming Ave.,6434 Castor Ave,4527,567
1429 W Clearfield St,8398 Lindbergh Blvd,24228,1689
769 N 39th St,169 W. Wyoming Ave.,11931,852
769 N 39th St,1801 W Diamond St,5363,856
2530 Wharton St,4520 Benner St,20210,1500
769 N 39th St,3001 Walnut St.,2732,615
169 W. Wyoming Ave.,537 E. Wyoming Ave.,1073,234
4164 BARNETT ST,3001 Walnut St.,16821,1417
2530 Wharton St,4667 Paul St.,19322,1475
169 W. Wyoming Ave.,169 W. Wyoming Ave.,0,0
769 N 39th St,4520 Benner St,17662,1440
1429 W Clearfield St,1419 Wharton St,8009,1487
2530 Wharton St,537 E. Wyoming Ave.,19777,1365
537 E. Wyoming Ave.,2059 E Chelten Ave,5700,757
139 N 63RD ST,2059 E Chelten Ave,21118,1932
2530 Wharton St,521-23 W. Lehigh Ave.,11909,1485
2530 Wharton St,1429 W Clearfield St,18297,1408
2530 Wharton St,169 W. Wyoming Ave.,17973,1174
1429 W Clearfield St,169 W. Wyoming Ave.,4163,630
1429 W Clearfield St,1510 W Oxford St,3038,494
139 N 63RD ST,2530 Wharton St,7531,1197
139 N 63RD ST,3101 Ridge Ave.,7311,1221
769 N 39th St,704 W Girard Ave,5816,955
769 N 39th St,735 W. Butler St.,12021,950
1429 W Clearfield St,2059 E Chelten Ave,8463,1343
139 N 63RD ST,100 E. Lehigh Ave.,16023,1874
4164 BARNETT ST,1801 W Diamond St,14066,1718
537 E. Wyoming Ave.,1429 W Clearfield St,4539,624
3223 W Clifford St,5901 Larchwood Ave,8162,1222
4164 BARNETT ST,2000 N 11th St,15083,1470
1429 W Clearfield St,6500 Castor Ave,9105,1248
3223 W Clifford St,2059 E Chelten Ave,18694,1371
139 N 63RD ST,4667 Paul St.,19792,2010
4164 BARNETT ST,2703 Tasker St,19587,1577
1429 W Clearfield St,2530 Wharton St,15449,1407
139 N 63RD ST,521-23 W. Lehigh Ave.,10795,1853
3223 W Clifford St,735 W. Butler St.,9722,931
1812 E PASSYUNK AVE,2703 Tasker St,2423,501
139 N 63RD ST,1429 W Clearfield St,15339,1631
1429 W Clearfield St,6434 Castor Ave,9105,1255
139 N 63RD ST,4520 Benner St,22070,2040
139 N 63RD ST,1510 W Oxford St,8391,1538
6434 Castor Ave,3223 W Clifford St,14343,1397
139 N 63RD ST,704 W Girard Ave,8991,1582
6434 Castor Ave,769 N 39th St,17389,1450
537 E. Wyoming Ave.,3101 Ridge Ave.,9692,982
1429 W Clearfield St,2703 Tasker St,15733,1468
139 N 63RD ST,3223 W Clifford St,6349,1091
4164 BARNETT ST,5901 Larchwood Ave,22572,1961
139 N 63RD ST,537 E. Wyoming Ave.,16819,1589
1429 W Clearfield St,5901 Larchwood Ave,11790,1794
2530 Wharton St,8398 Lindbergh Blvd,9871,913
139 N 63RD ST,6500 Castor Ave,20343,1966
3223 W Clifford St,1220 S. 58th St,8605,1353
1429 W Clearfield St,4520 Benner St,9113,1462
537 E. Wyoming Ave.,4520 Benner St,6352,776
1429 W Clearfield St,180 E Tulpehocken St,6185,1114
4520 Benner St,2059 E Chelten Ave,878,168
139 N 63RD ST,735 W. Butler St.,15105,1495
4520 Benner St,4520 Benner St,0,0
4164 BARNETT ST,769 N 39th St,17144,1462
537 E. Wyoming Ave.,100 E. Lehigh Ave.,4079,658
169 W. Wyoming Ave.,6434 Castor Ave,5766,725
537 E. Wyoming Ave.,1801 W Diamond St,6736,965
769 N 39th St,1220 S. 58th St,5544,956
769 N 39th St,6027 Chestnut St,5135,796
4164 BARNETT ST,3101 Ridge Ave.,15791,1527
769 N 39th St,1419 Wharton St,8694,1158
769 N 39th St,537 E. Wyoming Ave.,13735,1043
2530 Wharton St,735 W. Butler St.,18063,1272
537 E. Wyoming Ave.,2703 Tasker St,18787,1513
169 W. Wyoming Ave.,3101 Ridge Ave.,8619,761
769 N 39th St,1429 W Clearfield St,9612,1087
169 W. Wyoming Ave.,180 E Tulpehocken St,6499,907
769 N 39th St,6500 Castor Ave,17259,1421
537 E. Wyoming Ave.,6500 Castor Ave,4527,561
2530 Wharton St,100 E. Lehigh Ave.,14163,1334
769 N 39th St,5901 Larchwood Ave,5101,824
2455 S. 3rd Street,2455 S. 3rd Street,0,0
4164 BARNETT ST,3223 W Clifford St,18189,1373
139 N 63RD ST,3001 Walnut St.,6167,927
1812 E PASSYUNK AVE,2530 Wharton St,2694,559
4164 BARNETT ST,735 W. Butler St.,9999,1230
169 W. Wyoming Ave.,3223 W Clifford St,9338,856
1812 E PASSYUNK AVE,3223 W Clifford St,10261,1148
769 N 39th St,6434 Castor Ave,17259,1427
4164 BARNETT ST,8398 Lindbergh Blvd,27252,1609
769 N 39th St,4667 Paul St.,16708,1464
4164 BARNETT ST,1429 W Clearfield St,11666,1417
169 W. Wyoming Ave.,735 W. Butler St.,2475,433
2530 Wharton St,2000 N 11th St,10004,1240
169 W. Wyoming Ave.,3001 Walnut St.,14989,1088
169 W. Wyoming Ave.,4520 Benner St,7579,926
169 W. Wyoming Ave.,2000 N 11th St,5690,866
4520 Benner St,1419 Wharton St,15858,1460
2530 Wharton St,6434 Castor Ave,23300,1749
769 N 39th St,521-23 W. Lehigh Ave.,7620,1225
2530 Wharton St,180 E Tulpehocken St,18376,1414
537 E. Wyoming Ave.,704 W Girard Ave,7577,1169
769 N 39th St,2059 E Chelten Ave,16711,1333
537 E. Wyoming Ave.,769 N 39th St,13457,1130
537 E. Wyoming Ave.,521-23 W. Lehigh Ave.,4662,702
180 E Tulpehocken St,6434 Castor Ave,11107,1456
169 W. Wyoming Ave.,1429 W Clearfield St,3998,550
537 E. Wyoming Ave.,2530 Wharton St,18503,1452
169 W. Wyoming Ave.,2530 Wharton St,17430,1231
1812 E PASSYUNK AVE,2455 S. 3rd Street,2512,561
2059 E Chelten Ave,6027 Chestnut St,21683,1788
169 W. Wyoming Ave.,704 W Girard Ave,6903,1113
169 W. Wyoming Ave.,1220 S. 58th St,20978,1624
2530 Wharton St,2059 E Chelten Ave,19258,1393
769 N 39th St,180 E Tulpehocken St,12334,1092
537 E. Wyoming Ave.,3001 Walnut St.,16062,1309
769 N 39th St,8398 Lindbergh Blvd,17152,1221
169 W. Wyoming Ave.,6500 Castor Ave,5766,718
1812 E PASSYUNK AVE,704 W Girard Ave,5885,1236
537 E. Wyoming Ave.,3223 W Clifford St,10412,1077
169 W. Wyoming Ave.,769 N 39th St,12384,909
1812 E PASSYUNK AVE,8398 Lindbergh Blvd,10400,1085
139 N 63RD ST,6434 Castor Ave,20343,1973
537 E. Wyoming Ave.,8398 Lindbergh Blvd,27282,1734
1812 E PASSYUNK AVE,3001 Walnut St.,4419,871
4520 Benner St,704 W Girard Ave,12986,1128
169 W. Wyoming Ave.,4667 Paul St.,4134,707
169 W. Wyoming Ave.,521-23 W. Lehigh Ave.,4121,620
4164 BARNETT ST,6027 Chestnut St,22986,1988
4164 BARNETT ST,521-23 W. Lehigh Ave.,11099,1339
769 N 39th St,100 E. Lehigh Ave.,11615,1274
169 W. Wyoming Ave.,1801 W Diamond St,6195,890
1812 E PASSYUNK AVE,769 N 39th St,7205,1309
900 E Howell St,900 E Howell St,0,0
180 E Tulpehocken St,100 E. Lehigh Ave.,9366,1571
1812 E PASSYUNK AVE,169 W. Wyoming Ave.,19546,1465
4520 Benner St,6434 Castor Ave,3057,521
1812 E PASSYUNK AVE,2059 E Chelten Ave,16194,1497
2455 S. 3rd Street,1419 Wharton St,3978,824
139 N 63RD ST,1801 W Diamond St,8538,1484
6434 Castor Ave,900 E Howell St,1950,272
1812 E PASSYUNK AVE,521-23 W. Lehigh Ave.,7860,1587
4520 Benner St,537 E. Wyoming Ave.,6880,888
1812 E PASSYUNK AVE,1220 S. 58th St,8141,1214
537 E. Wyoming Ave.,180 E Tulpehocken St,7573,1128
1429 W Clearfield St,1220 S. 58th St,18998,1800
169 W. Wyoming Ave.,2703 Tasker St,17714,1292
1812 E PASSYUNK AVE,2000 N 11th St,7114,1428
169 W. Wyoming Ave.,2059 E Chelten Ave,6938,914
4520 Benner St,4667 Paul St.,3490,646
900 E Howell St,537 E. Wyoming Ave.,3822,509
4164 BARNETT ST,180 E Tulpehocken St,13671,1672
537 E. Wyoming Ave.,5901 Larchwood Ave,15996,1811
1812 E PASSYUNK AVE,5901 Larchwood Ave,8293,1406
2455 S. 3rd Street,2703 Tasker St,7647,805
2455 S. 3rd Street,704 W Girard Ave,9164,827
537 E. Wyoming Ave.,6027 Chestnut St,15527,1652
2530 Wharton St,6500 Castor Ave,23300,1743
4164 BARNETT ST,1220 S. 58th St,22851,1909
169 W. Wyoming Ave.,1510 W Oxford St,6711,952
1812 E PASSYUNK AVE,1801 W Diamond St,7409,1502
537 E. Wyoming Ave.,2000 N 11th St,6231,941
6434 Castor Ave,6434 Castor Ave,0,0
139 N 63RD ST,180 E Tulpehocken St,12865,1611
2455 S. 3rd Street,2530 Wharton St,8444,854
180 E Tulpehocken St,1220 S. 58th St,20857,1831
769 N 39th St,2455 S. 3rd Street,12533,1103
4164 BARNETT ST,100 E. Lehigh Ave.,10319,1226
4520 Benner St,2000 N 11th St,14322,1371
4520 Benner St,169 W. Wyoming Ave.,7805,984
180 E Tulpehocken St,8398 Lindbergh Blvd,26088,1719
169 W. Wyoming Ave.,900 E Howell St,4719,672
1812 E PASSYUNK AVE,6027 Chestnut St,9641,1546
1812 E PASSYUNK AVE,180 E Tulpehocken St,19949,1705
139 N 63RD ST,4700 Wyalusing Ave.,2953,487
900 E Howell St,6434 Castor Ave,1826,312
1812 E PASSYUNK AVE,6434 Castor Ave,19315,1918
3223 W Clifford St,3223 W Clifford St,0,0
4520 Benner St,769 N 39th St,16382,1363
1812 E PASSYUNK AVE,4520 Benner St,17146,1604
4520 Benner St,5901 Larchwood Ave,21811,1862
900 E Howell St,6500 Castor Ave,1943,313
1812 E PASSYUNK AVE,537 E. Wyoming Ave.,21350,1656
4520 Benner St,3001 Walnut St.,16059,1318
1812 E PASSYUNK AVE,3101 Ridge Ave.,11223,1278
1812 E PASSYUNK AVE,4667 Paul St.,16259,1580
1812 E PASSYUNK AVE,1510 W Oxford St,6245,1306
4164 BARNETT ST,900 E Howell St,4347,636
169 W. Wyoming Ave.,1419 Wharton St,17750,1450
4520 Benner St,900 E Howell St,4360,676
1812 E PASSYUNK AVE,100 E. Lehigh Ave.,11099,1438
169 W. Wyoming Ave.,6027 Chestnut St,14454,1431
6434 Castor Ave,6500 Castor Ave,30,12
2455 S. 3rd Street,6027 Chestnut St,13436,1564
2455 S. 3rd Street,3001 Walnut St.,10324,926
900 E Howell St,4520 Benner St,4073,649
169 W. Wyoming Ave.,100 E. Lehigh Ave.,4214,697
4520 Benner St,100 E. Lehigh Ave.,9557,1126
2455 S. 3rd Street,2000 N 11th St,10500,1069
6434 Castor Ave,537 E. Wyoming Ave.,4699,624
3223 W Clifford St,1801 W Diamond St,2320,484
4520 Benner St,1429 W Clearfield St,8995,1370
3223 W Clifford St,3101 Ridge Ave.,939,230
180 E Tulpehocken St,169 W. Wyoming Ave.,5777,879
4520 Benner St,180 E Tulpehocken St,13685,1712
537 E. Wyoming Ave.,1220 S. 58th St,22051,1845
4520 Benner St,1801 W Diamond St,13305,1618
900 E Howell St,4667 Paul St.,2901,589
139 N 63RD ST,2455 S. 3rd Street,15953,1727
537 E. Wyoming Ave.,1419 Wharton St,17163,1665
2455 S. 3rd Street,4520 Benner St,18369,1251
537 E. Wyoming Ave.,2455 S. 3rd Street,18517,1390
2530 Wharton St,2455 S. 3rd Street,4927,977
169 W. Wyoming Ave.,5901 Larchwood Ave,14922,1590
4520 Benner St,735 W. Butler St.,8528,1276
4520 Benner St,2455 S. 3rd Street,17211,1185
2530 Wharton St,4700 Wyalusing Ave.,6241,1142
900 E Howell St,735 W. Butler St.,6823,904
2455 S. 3rd Street,5901 Larchwood Ave,12088,1424
1812 E PASSYUNK AVE,6500 Castor Ave,19387,1914
180 E Tulpehocken St,1429 W Clearfield St,6708,1029
180 E Tulpehocken St,521-23 W. Lehigh Ave.,8032,1317
1812 E PASSYUNK AVE,735 W. Butler St.,19636,1563
4520 Benner St,1510 W Oxford St,12140,1423
900 E Howell St,2059 E Chelten Ave,3444,597
2455 S. 3rd Street,8398 Lindbergh Blvd,11813,830
2455 S. 3rd Street,1510 W Oxford St,10280,1107
4164 BARNETT ST,2455 S. 3rd Street,17973,1284
4164 BARNETT ST,4355 Paul St,3978,637
2000 N 11th St,2000 N 11th St,0,0
3223 W Clifford St,2530 Wharton St,8708,962
2455 S. 3rd Street,169 W. Wyoming Ave.,22899,1325
3223 W Clifford St,2000 N 11th St,3613,798
2000 N 11th St,521-23 W. Lehigh Ave.,1899,300
2000 N 11th St,1429 W Clearfield St,2381,413
2455 S. 3rd Street,769 N 39th St,12569,1097
3223 W Clifford St,769 N 39th St,3453,473
180 E Tulpehocken St,3223 W Clifford St,11897,1084
180 E Tulpehocken St,3101 Ridge Ave.,8911,1013
4520 Benner St,2530 Wharton St,18542,1416
2455 S. 3rd Street,1429 W Clearfield St,12823,1445
2455 S. 3rd Street,3101 Ridge Ave.,14576,1138
537 E. Wyoming Ave.,900 E Howell St,4057,539
4520 Benner St,4355 Paul St,3217,531
900 E Howell St,2455 S. 3rd Street,19781,1598
935 S 53rd St,935 S 53rd St,0,0
4520 Benner St,521-23 W. Lehigh Ave.,10338,1240
3223 W Clifford St,4700 Wyalusing Ave.,3994,655
6434 Castor Ave,169 W. Wyoming Ave.,5625,719
2455 S. 3rd Street,1801 W Diamond St,11445,1302
2000 N 11th St,1801 W Diamond St,1207,285
2455 S. 3rd Street,1220 S. 58th St,9408,1340
900 E Howell St,2000 N 11th St,9944,1426
2455 S. 3rd Street,3223 W Clifford St,13614,1008
1429 W Clearfield St,900 E Howell St,8718,1247
769 N 39th St,900 E Howell St,16202,1371
180 E Tulpehocken St,4667 Paul St.,10557,1493
180 E Tulpehocken St,6500 Castor Ave,11107,1449
900 E Howell St,2530 Wharton St,21426,1670
6434 Castor Ave,2059 E Chelten Ave,3506,541
4520 Benner St,3223 W Clifford St,17427,1274
2455 S. 3rd Street,521-23 W. Lehigh Ave.,11068,1191
3223 W Clifford St,3001 Walnut St.,4836,812
2455 S. 3rd Street,4667 Paul St.,17482,1226
2059 E Chelten Ave,2059 E Chelten Ave,0,0
2000 N 11th St,1510 W Oxford St,1710,354
169 W. Wyoming Ave.,8398 Lindbergh Blvd,26209,1513
2000 N 11th St,735 W. Butler St.,4249,764
2455 S. 3rd Street,537 E. Wyoming Ave.,19461,1413
6434 Castor Ave,180 E Tulpehocken St,11504,1448
3223 W Clifford St,169 W. Wyoming Ave.,9632,834
900 E Howell St,100 E. Lehigh Ave.,7793,1143
180 E Tulpehocken St,735 W. Butler St.,5876,949
3223 W Clifford St,8398 Lindbergh Blvd,17487,1244
180 E Tulpehocken St,2455 S. 3rd Street,23118,1617
180 E Tulpehocken St,4700 Wyalusing Ave.,12891,1191
169 W. Wyoming Ave.,2455 S. 3rd Street,23239,1411
6434 Castor Ave,100 E. Lehigh Ave.,8670,1253
3223 W Clifford St,2455 S. 3rd Street,14517,1142
900 E Howell St,3101 Ridge Ave.,12615,1201
900 E Howell St,1801 W Diamond St,10720,1442
6434 Castor Ave,3101 Ridge Ave.,13624,1302
935 S 53rd St,4700 Wyalusing Ave.,3662,645
900 E Howell St,4700 Wyalusing Ave.,17008,1424
537 E. Wyoming Ave.,735 W. Butler St.,3334,473
2059 E Chelten Ave,4520 Benner St,651,124
4520 Benner St,8398 Lindbergh Blvd,26491,1509
139 N 63RD ST,935 S 53rd St,3876,585
900 E Howell St,4355 Paul St,4134,691
2000 N 11th St,537 E. Wyoming Ave.,6078,887
6434 Castor Ave,4520 Benner St,3186,524
4520 Benner St,6027 Chestnut St,22224,1888
2455 S. 3rd Street,100 E. Lehigh Ave.,12322,1084
169 W. Wyoming Ave.,4700 Wyalusing Ave.,13012,985
935 S 53rd St,2703 Tasker St,4512,757
2455 S. 3rd Street,4355 Paul St,16292,1069
2059 E Chelten Ave,900 E Howell St,3474,611
3223 W Clifford St,100 E. Lehigh Ave.,5597,1095
900 E Howell St,521-23 W. Lehigh Ave.,8376,1187
2455 S. 3rd Street,2059 E Chelten Ave,17418,1143
2455 S. 3rd Street,6500 Castor Ave,20610,1560
2000 N 11th St,169 W. Wyoming Ave.,5556,799
180 E Tulpehocken St,537 E. Wyoming Ave.,7583,1072
900 E Howell St,8398 Lindbergh Blvd,29060,1923
6434 Castor Ave,4355 Paul St,4391,708
769 N 39th St,2000 N 11th St,6677,1111
180 E Tulpehocken St,2530 Wharton St,17309,1437
2000 N 11th St,3101 Ridge Ave.,3045,604
900 E Howell St,180 E Tulpehocken St,10496,1346
180 E Tulpehocken St,2703 Tasker St,17593,1499
2455 S. 3rd Street,180 E Tulpehocken St,23303,1565
2455 S. 3rd Street,6434 Castor Ave,20539,1564
2455 S. 3rd Street,900 E Howell St,20587,1677
180 E Tulpehocken St,6027 Chestnut St,13542,1762
2000 N 11th St,2455 S. 3rd Street,12084,1253
3223 W Clifford St,6027 Chestnut St,6865,1143
537 E. Wyoming Ave.,4355 Paul St,3618,521
2059 E Chelten Ave,537 E. Wyoming Ave.,5567,822
2000 N 11th St,3223 W Clifford St,3587,734
1429 W Clearfield St,2455 S. 3rd Street,13412,1393
2000 N 11th St,704 W Girard Ave,2118,387
180 E Tulpehocken St,900 E Howell St,10050,1400
900 E Howell St,769 N 39th St,16380,1348
2059 E Chelten Ave,169 W. Wyoming Ave.,6951,991
6434 Castor Ave,735 W. Butler St.,7832,1005
180 E Tulpehocken St,1510 W Oxford St,9454,1443
6434 Castor Ave,2530 Wharton St,22435,1772
3223 W Clifford St,6434 Castor Ave,14960,1409
900 E Howell St,1220 S. 58th St,24974,2063
4520 Benner St,3101 Ridge Ave.,18389,1405
3223 W Clifford St,180 E Tulpehocken St,10134,1062
2530 Wharton St,935 S 53rd St,4882,823
180 E Tulpehocken St,769 N 39th St,12263,1115
935 S 53rd St,5901 Larchwood Ave,1958,336
2000 N 11th St,2530 Wharton St,10244,1351
900 E Howell St,3223 W Clifford St,13335,1296
2455 S. 3rd Street,4700 Wyalusing Ave.,14581,1232
2000 N 11th St,6434 Castor Ave,10497,1424
3223 W Clifford St,4667 Paul St.,14409,1445
180 E Tulpehocken St,1419 Wharton St,17630,1656
180 E Tulpehocken St,704 W Girard Ave,10780,1652
139 N 63RD ST,900 E Howell St,19286,1917
2000 N 11th St,4355 Paul St,7881,1214
6434 Castor Ave,1429 W Clearfield St,9499,1192
4164 BARNETT ST,4700 Wyalusing Ave.,19156,1597
2530 Wharton St,4355 Paul St,18132,1319
169 W. Wyoming Ave.,4355 Paul St,4691,755
900 E Howell St,1429 W Clearfield St,8491,1091
3223 W Clifford St,537 E. Wyoming Ave.,11436,1025
2530 Wharton St,900 E Howell St,22244,1693
6434 Castor Ave,5901 Larchwood Ave,19927,2130
2000 N 11th St,4700 Wyalusing Ave.,7359,1285
2000 N 11th St,4667 Paul St.,8336,1322
2455 S. 3rd Street,935 S 53rd St,10807,1191
180 E Tulpehocken St,2059 E Chelten Ave,12280,1646
1429 W Clearfield St,4355 Paul St,6489,1044
2000 N 11th St,3001 Walnut St.,6295,1279
1200 ARCH ST,2530 Wharton St,4535,984
6434 Castor Ave,521-23 W. Lehigh Ave.,9253,1297
180 E Tulpehocken St,5901 Larchwood Ave,14512,1906
180 E Tulpehocken St,3001 Walnut St.,14868,1295
2059 E Chelten Ave,1429 W Clearfield St,8345,1265
2000 N 11th St,100 E. Lehigh Ave.,3051,579
6434 Castor Ave,1510 W Oxford St,12245,1605
6434 Castor Ave,2703 Tasker St,22719,1833
2059 E Chelten Ave,4355 Paul St,2566,425
935 S 53rd St,3001 Walnut St.,5395,926
935 S 53rd St,3101 Ridge Ave.,10896,1315
2455 S. 3rd Street,735 W. Butler St.,22989,1423
900 E Howell St,6027 Chestnut St,18450,1870
1200 ARCH ST,704 W Girard Ave,2782,606
935 S 53rd St,1220 S. 58th St,1160,199
2059 E Chelten Ave,2455 S. 3rd Street,16670,1084
1812 E PASSYUNK AVE,900 E Howell St,23817,1984
935 S 53rd St,6027 Chestnut St,3107,485
935 S 53rd St,769 N 39th St,4396,851
4520 Benner St,1220 S. 58th St,22090,1810
2059 E Chelten Ave,6434 Castor Ave,3426,503
6434 Castor Ave,2455 S. 3rd Street,19889,1535
3223 W Clifford St,1419 Wharton St,9028,1181
2059 E Chelten Ave,6500 Castor Ave,3497,499
1200 ARCH ST,2703 Tasker St,4815,1017
2059 E Chelten Ave,735 W. Butler St.,7878,1170
4520 Benner St,2703 Tasker St,18826,1478
4520 Benner St,4700 Wyalusing Ave.,18395,1498
935 S 53rd St,2530 Wharton St,4228,695
2000 N 11th St,180 E Tulpehocken St,8483,1412
769 N 39th St,4355 Paul St,15585,1259
